Iteration: 1	 Current Reward: 67.09	 Std Rewards: 12.08	 Time per iteration: 0.8761
Iteration: 2	 Current Reward: 54.61	 Std Rewards: 29.89	 Time per iteration: 1.0717
Iteration: 3	 Current Reward: 36.09	 Std Rewards: 127.23	 Time per iteration: 2.2761
Iteration: 4	 Current Reward: 39.23	 Std Rewards: 82.92	 Time per iteration: 2.3899
Iteration: 5	 Current Reward: 569.98	 Std Rewards: 119.74	 Time per iteration: 3.0782
Iteration: 6	 Current Reward: 23.34	 Std Rewards: 8.79	 Time per iteration: 0.6711
Iteration: 7	 Current Reward: 43.01	 Std Rewards: 75.54	 Time per iteration: 1.9808
Iteration: 8	 Current Reward: 66.12	 Std Rewards: 72.21	 Time per iteration: 1.8929
Iteration: 9	 Current Reward: 66.57	 Std Rewards: 36.87	 Time per iteration: 1.5011
Iteration: 10	 Current Reward: 30.82	 Std Rewards: 17.60	 Time per iteration: 1.0952
Iteration: 11	 Current Reward: 59.54	 Std Rewards: 20.04	 Time per iteration: 1.1905
Iteration: 12	 Current Reward: 47.99	 Std Rewards: 83.57	 Time per iteration: 2.1949
Iteration: 13	 Current Reward: 39.43	 Std Rewards: 115.86	 Time per iteration: 3.0011
Iteration: 14	 Current Reward: 38.60	 Std Rewards: 122.60	 Time per iteration: 2.3051
Iteration: 15	 Current Reward: 615.71	 Std Rewards: 199.96	 Time per iteration: 3.5965
Iteration: 16	 Current Reward: 33.37	 Std Rewards: 125.03	 Time per iteration: 2.9972
Iteration: 17	 Current Reward: 33.20	 Std Rewards: 109.44	 Time per iteration: 2.2028
Iteration: 18	 Current Reward: 70.46	 Std Rewards: 140.30	 Time per iteration: 3.0005
Iteration: 19	 Current Reward: 32.27	 Std Rewards: 147.19	 Time per iteration: 3.4125
Iteration: 20	 Current Reward: 48.77	 Std Rewards: 119.79	 Time per iteration: 3.1944
Iteration: 21	 Current Reward: 58.53	 Std Rewards: 195.22	 Time per iteration: 4.0946
Iteration: 22	 Current Reward: 599.88	 Std Rewards: 163.54	 Time per iteration: 3.2919
Iteration: 23	 Current Reward: 23.08	 Std Rewards: 174.65	 Time per iteration: 3.2013
Iteration: 24	 Current Reward: 36.13	 Std Rewards: 118.42	 Time per iteration: 3.1196
Iteration: 25	 Current Reward: 35.07	 Std Rewards: 177.78	 Time per iteration: 3.7991
Iteration: 26	 Current Reward: 100.03	 Std Rewards: 190.03	 Time per iteration: 3.4975
Iteration: 27	 Current Reward: 90.74	 Std Rewards: 189.87	 Time per iteration: 3.4012
Iteration: 28	 Current Reward: 38.01	 Std Rewards: 167.93	 Time per iteration: 4.0997
Iteration: 29	 Current Reward: 87.43	 Std Rewards: 135.13	 Time per iteration: 2.4058
Iteration: 30	 Current Reward: 60.31	 Std Rewards: 185.23	 Time per iteration: 3.1918
Iteration: 31	 Current Reward: 81.90	 Std Rewards: 177.30	 Time per iteration: 4.1935
Iteration: 32	 Current Reward: 148.14	 Std Rewards: 80.32	 Time per iteration: 2.2894
Iteration: 33	 Current Reward: 28.48	 Std Rewards: 61.90	 Time per iteration: 2.1924
Iteration: 34	 Current Reward: 705.01	 Std Rewards: 160.30	 Time per iteration: 3.5037
Iteration: 35	 Current Reward: 704.31	 Std Rewards: 244.93	 Time per iteration: 4.4958
Iteration: 36	 Current Reward: 93.16	 Std Rewards: 303.88	 Time per iteration: 6.4013
Iteration: 37	 Current Reward: 698.78	 Std Rewards: 330.55	 Time per iteration: 7.9088
Iteration: 38	 Current Reward: 73.55	 Std Rewards: 320.49	 Time per iteration: 7.9083
Iteration: 39	 Current Reward: 701.02	 Std Rewards: 311.53	 Time per iteration: 7.3209
Iteration: 40	 Current Reward: 471.87	 Std Rewards: 310.68	 Time per iteration: 6.1984
Iteration: 41	 Current Reward: 59.32	 Std Rewards: 222.00	 Time per iteration: 4.7982
Iteration: 42	 Current Reward: 31.10	 Std Rewards: 271.09	 Time per iteration: 5.3964
Iteration: 43	 Current Reward: 149.17	 Std Rewards: 286.86	 Time per iteration: 6.6076
Iteration: 44	 Current Reward: 715.61	 Std Rewards: 352.97	 Time per iteration: 8.2281
Iteration: 45	 Current Reward: 899.36	 Std Rewards: 348.25	 Time per iteration: 8.7073
Iteration: 46	 Current Reward: 27.23	 Std Rewards: 348.59	 Time per iteration: 10.6106
Iteration: 47	 Current Reward: 749.96	 Std Rewards: 350.81	 Time per iteration: 8.2037
Iteration: 48	 Current Reward: 804.16	 Std Rewards: 360.83	 Time per iteration: 10.5153
Iteration: 49	 Current Reward: 801.06	 Std Rewards: 365.45	 Time per iteration: 7.8157
Iteration: 50	 Current Reward: 803.49	 Std Rewards: 390.49	 Time per iteration: 8.4038
Iteration: 51	 Current Reward: 802.16	 Std Rewards: 370.19	 Time per iteration: 10.0076
Iteration: 52	 Current Reward: 134.95	 Std Rewards: 378.65	 Time per iteration: 9.5051
Iteration: 53	 Current Reward: 141.20	 Std Rewards: 381.30	 Time per iteration: 10.3112
Iteration: 54	 Current Reward: 351.94	 Std Rewards: 366.08	 Time per iteration: 10.8214
Iteration: 55	 Current Reward: 899.08	 Std Rewards: 374.18	 Time per iteration: 10.1313
Iteration: 56	 Current Reward: 897.10	 Std Rewards: 348.04	 Time per iteration: 11.1104
Iteration: 57	 Current Reward: 61.25	 Std Rewards: 356.90	 Time per iteration: 10.9106
Iteration: 58	 Current Reward: 899.82	 Std Rewards: 333.52	 Time per iteration: 10.4096
Iteration: 59	 Current Reward: 901.64	 Std Rewards: 374.54	 Time per iteration: 9.5142
Iteration: 60	 Current Reward: 893.49	 Std Rewards: 384.27	 Time per iteration: 9.2284
Iteration: 61	 Current Reward: 15.00	 Std Rewards: 361.99	 Time per iteration: 9.9071
Iteration: 62	 Current Reward: 902.76	 Std Rewards: 343.98	 Time per iteration: 11.4123
Iteration: 63	 Current Reward: 894.91	 Std Rewards: 367.78	 Time per iteration: 10.0123
Iteration: 64	 Current Reward: 892.92	 Std Rewards: 341.07	 Time per iteration: 12.0271
Iteration: 65	 Current Reward: 896.33	 Std Rewards: 337.43	 Time per iteration: 11.3348
Iteration: 66	 Current Reward: 995.49	 Std Rewards: 385.80	 Time per iteration: 10.3107
Iteration: 67	 Current Reward: 794.31	 Std Rewards: 320.12	 Time per iteration: 11.5098
Iteration: 68	 Current Reward: 897.94	 Std Rewards: 314.97	 Time per iteration: 11.2105
Iteration: 69	 Current Reward: 898.37	 Std Rewards: 269.70	 Time per iteration: 12.0184
Iteration: 70	 Current Reward: 899.88	 Std Rewards: 322.29	 Time per iteration: 11.3347
Iteration: 71	 Current Reward: 899.96	 Std Rewards: 336.31	 Time per iteration: 11.4105
Iteration: 72	 Current Reward: 65.42	 Std Rewards: 361.56	 Time per iteration: 10.2097
Iteration: 73	 Current Reward: 898.28	 Std Rewards: 257.54	 Time per iteration: 12.1119
Iteration: 74	 Current Reward: 896.67	 Std Rewards: 152.07	 Time per iteration: 12.5194
Iteration: 75	 Current Reward: 896.79	 Std Rewards: 231.83	 Time per iteration: 12.4396
Iteration: 76	 Current Reward: 900.58	 Std Rewards: 218.69	 Time per iteration: 12.4149
Iteration: 77	 Current Reward: 899.62	 Std Rewards: 279.11	 Time per iteration: 12.3151
Iteration: 78	 Current Reward: 898.60	 Std Rewards: 286.39	 Time per iteration: 11.9115
Iteration: 79	 Current Reward: 890.19	 Std Rewards: 228.64	 Time per iteration: 12.2194
Iteration: 80	 Current Reward: 788.84	 Std Rewards: 323.97	 Time per iteration: 12.2385
Iteration: 81	 Current Reward: 990.44	 Std Rewards: 276.63	 Time per iteration: 12.3151
Iteration: 82	 Current Reward: 995.22	 Std Rewards: 127.72	 Time per iteration: 12.5130
Iteration: 83	 Current Reward: 790.48	 Std Rewards: 345.87	 Time per iteration: 10.8121
Iteration: 84	 Current Reward: 858.45	 Std Rewards: 227.33	 Time per iteration: 12.2203
Iteration: 85	 Current Reward: 900.69	 Std Rewards: 254.86	 Time per iteration: 12.3382
Iteration: 86	 Current Reward: 896.18	 Std Rewards: 261.40	 Time per iteration: 11.9117
Iteration: 87	 Current Reward: 992.77	 Std Rewards: 252.10	 Time per iteration: 12.0138
Iteration: 88	 Current Reward: 897.44	 Std Rewards: 348.44	 Time per iteration: 11.6165
Iteration: 89	 Current Reward: 993.14	 Std Rewards: 116.32	 Time per iteration: 12.5238
Iteration: 90	 Current Reward: 994.71	 Std Rewards: 220.66	 Time per iteration: 12.3406
Iteration: 91	 Current Reward: 110.04	 Std Rewards: 314.72	 Time per iteration: 11.4154
Iteration: 92	 Current Reward: 889.08	 Std Rewards: 256.86	 Time per iteration: 11.9107
Iteration: 93	 Current Reward: 895.82	 Std Rewards: 252.76	 Time per iteration: 12.0155
Iteration: 94	 Current Reward: 884.59	 Std Rewards: 273.98	 Time per iteration: 11.8189
Iteration: 95	 Current Reward: 147.25	 Std Rewards: 261.23	 Time per iteration: 11.9271
Iteration: 96	 Current Reward: 899.63	 Std Rewards: 286.62	 Time per iteration: 11.7141
Iteration: 97	 Current Reward: 900.91	 Std Rewards: 288.91	 Time per iteration: 11.8111
Iteration: 98	 Current Reward: 899.64	 Std Rewards: 257.21	 Time per iteration: 11.7119
Iteration: 99	 Current Reward: 897.46	 Std Rewards: 366.83	 Time per iteration: 11.2190
Iteration: 100	 Current Reward: 795.29	 Std Rewards: 217.50	 Time per iteration: 12.1416
Iteration: 101	 Current Reward: 900.87	 Std Rewards: 265.09	 Time per iteration: 11.9127
Iteration: 102	 Current Reward: 163.89	 Std Rewards: 262.12	 Time per iteration: 12.1119
Iteration: 103	 Current Reward: 900.45	 Std Rewards: 255.41	 Time per iteration: 11.8126
Iteration: 104	 Current Reward: 995.55	 Std Rewards: 341.10	 Time per iteration: 11.6220
Iteration: 105	 Current Reward: 989.45	 Std Rewards: 249.66	 Time per iteration: 11.9379
Iteration: 106	 Current Reward: 995.57	 Std Rewards: 214.22	 Time per iteration: 12.2128
Iteration: 107	 Current Reward: 985.08	 Std Rewards: 341.02	 Time per iteration: 11.3118
Iteration: 108	 Current Reward: 993.26	 Std Rewards: 271.33	 Time per iteration: 11.9118
Iteration: 109	 Current Reward: 878.97	 Std Rewards: 249.01	 Time per iteration: 12.1205
Iteration: 110	 Current Reward: 984.05	 Std Rewards: 265.03	 Time per iteration: 11.8370
Iteration: 111	 Current Reward: 22.69	 Std Rewards: 198.15	 Time per iteration: 12.2099
Iteration: 112	 Current Reward: 984.38	 Std Rewards: 306.04	 Time per iteration: 11.9167
Iteration: 113	 Current Reward: 991.98	 Std Rewards: 256.61	 Time per iteration: 12.5187
Iteration: 114	 Current Reward: 987.46	 Std Rewards: 286.45	 Time per iteration: 12.0174
Iteration: 115	 Current Reward: 992.97	 Std Rewards: 261.22	 Time per iteration: 11.8353
Iteration: 116	 Current Reward: 986.74	 Std Rewards: 221.67	 Time per iteration: 12.1125
Iteration: 117	 Current Reward: 893.82	 Std Rewards: 228.17	 Time per iteration: 12.1125
Iteration: 118	 Current Reward: 114.17	 Std Rewards: 227.67	 Time per iteration: 12.1106
Iteration: 119	 Current Reward: 987.86	 Std Rewards: 222.70	 Time per iteration: 12.2203
Iteration: 120	 Current Reward: 993.01	 Std Rewards: 167.01	 Time per iteration: 12.2402
Iteration: 121	 Current Reward: 995.27	 Std Rewards: 165.85	 Time per iteration: 12.2089
Iteration: 122	 Current Reward: 988.15	 Std Rewards: 274.28	 Time per iteration: 11.9129
Iteration: 123	 Current Reward: 991.43	 Std Rewards: 195.51	 Time per iteration: 12.2106
Iteration: 124	 Current Reward: 993.38	 Std Rewards: 65.40	 Time per iteration: 12.3191
Iteration: 125	 Current Reward: 985.57	 Std Rewards: 158.62	 Time per iteration: 12.2398
Iteration: 126	 Current Reward: 989.58	 Std Rewards: 267.64	 Time per iteration: 11.8150
Iteration: 127	 Current Reward: 984.70	 Std Rewards: 256.36	 Time per iteration: 12.0134
Iteration: 128	 Current Reward: 993.49	 Std Rewards: 185.14	 Time per iteration: 12.2104
Iteration: 129	 Current Reward: 987.82	 Std Rewards: 257.16	 Time per iteration: 12.0188
Iteration: 130	 Current Reward: 990.85	 Std Rewards: 246.13	 Time per iteration: 12.1248
Iteration: 131	 Current Reward: 984.53	 Std Rewards: 199.25	 Time per iteration: 12.2233
Iteration: 132	 Current Reward: 984.12	 Std Rewards: 237.93	 Time per iteration: 12.1224
Iteration: 133	 Current Reward: 985.98	 Std Rewards: 264.51	 Time per iteration: 12.0231
Iteration: 134	 Current Reward: 978.86	 Std Rewards: 217.52	 Time per iteration: 12.2266
Iteration: 135	 Current Reward: 987.96	 Std Rewards: 273.79	 Time per iteration: 11.9290
Iteration: 136	 Current Reward: 986.44	 Std Rewards: 181.75	 Time per iteration: 12.9506
Iteration: 137	 Current Reward: 987.09	 Std Rewards: 244.16	 Time per iteration: 12.3352
